id,p1,p2,winner,score,turns,time
216280580,0,0,2,25,87,8314270
216280578,0,0,1,25,112,5832960
216280578,0,0,2,30,46,1875221
216280576,0,0,1,33,79,3219964
216280639,0,0,2,25,68,2268851
216280639,0,0,1,25,84,3422428
216280639,0,0,2,26,124,3460999
216280638,0,0,2,25,80,2022894
216280637,0,0,1,28,118,3205874
216280637,0,0,2,32,109,2548811
216280637,0,0,1,26,125,3255708
216280636,0,0,2,25,107,3014414
216280636,0,0,1,26,129,4784152
216280636,0,0,2,26,102,3685216
216280635,0,0,1,25,92,3081561
216280635,0,0,1,25,78,2266615
216280635,0,0,1,25,112,3808034
216280635,0,0,2,28,129,4179583
216280634,0,0,2,25,99,3141821
216280634,0,0,1,31,86,2567594
216280634,0,0,1,31,83,2570597
216280633,0,0,2,31,68,1923920
216280633,0,0,2,26,91,1928225
216280633,0,0,2,26,138,3191882
216280633,0,0,1,25,77,1757767
216280632,0,0,2,25,86,1849749
216280632,0,0,2,25,120,2838544
216280632,0,0,2,26,85,1690058
216280632,0,0,1,31,90,1803308
216280632,0,0,2,25,80,1358350
216280631,0,0,1,25,64,1284916
216280631,0,0,2,27,111,3188607
216280631,0,0,2,25,96,1959121
216280631,0,0,2,30,75,1529226
216280630,0,0,2,25,101,2277330
216280630,0,0,1,25,86,1630984
216280630,0,0,2,25,131,2863212
216280630,0,0,1,26,130,2865979
216280630,0,0,1,25,127,2707970
216280629,0,0,2,29,85,1749433
216280629,0,0,1,25,72,1697511
216280629,0,0,1,25,78,1974019
216280629,0,0,1,25,108,2389940
216280629,0,0,2,30,110,2343043
216280628,0,0,1,30,75,1501604
216280628,0,0,1,25,68,1290442
216280628,0,0,1,25,118,2647316
216280628,0,0,2,25,51,1024125
216280628,0,0,1,25,85,1664039
216280627,0,0,2,25,84,1695883
216280627,0,0,1,28,60,1190007
216280627,0,0,2,27,65,1241578
216280627,0,0,1,36,74,1367905
216280627,0,0,1,30,70,1306613
216280626,0,0,2,25,92,2532812
216280626,0,0,1,25,81,1682212
216280626,0,0,2,25,90,1835294
216280626,0,0,2,26,134,3400687
216280626,0,0,1,29,87,1696122
216280625,0,0,2,25,116,2561765
216280625,0,0,1,26,129,2599407
216280625,0,0,2,25,111,3088244
216280625,0,0,1,25,71,1344332
216280624,0,0,1,25,105,2490565
216280624,0,0,2,25,109,2773640
216280624,0,0,1,25,101,2673505
216280624,0,0,1,25,76,1531081
216280624,0,0,2,27,108,2528498
216280623,0,0,2,30,120,2592021
216280623,0,0,2,26,137,2758881
216280623,0,0,2,25,92,1871656
216280623,0,0,2,35,24,798400
216280623,0,0,2,25,73,1715025
216280622,0,0,2,26,136,3087751
216280622,0,0,1,26,87,2905222
216280622,0,0,2,26,148,4602282
216280622,0,0,2,27,103,2549742
216280622,0,0,1,27,75,1377036
216280622,0,0,2,25,71,1401016
216280621,0,0,1,25,66,1158380
216280621,0,0,1,25,67,1465477
216280621,0,0,1,27,143,3386168
216280621,0,0,2,26,76,1608480
216280621,0,0,2,25,74,1839572
216280620,0,0,1,26,118,3526941
216280620,0,0,2,34,77,1614724
216280620,0,0,2,25,104,3145401
216280620,0,0,1,25,108,3272433
216280620,0,0,1,25,65,1613770
216280620,0,0,2,31,113,3592326
